epoch,train_loss,val_loss
1,4.018864086696079,3.5642805695533752
2,3.5191453676375133,3.529681444168091
3,3.470173741143847,3.4577645659446716
4,3.400372194865393,3.401399552822113
5,3.3282623631613597,3.4768316745758057
6,3.2842879863012406,3.3088021874427795
7,3.2553805850801014,3.364682674407959
8,3.2463344884297203,3.2915550470352173
9,3.2224578970954534,3.2639639377593994
10,3.20743085089184,3.4991071224212646
11,3.1805590523613825,3.3682883381843567
12,3.1424903566875155,3.3456220030784607
13,3.1009057400718567,3.3109599947929382
14,3.041195820248316,3.178651452064514
15,2.96828970454988,3.103783369064331
16,2.8889976304674905,3.0567633509635925
17,2.8060280065687877,3.022304654121399
18,2.6791744459243048,3.1660865545272827
19,2.5650642372313,2.933615028858185
20,2.3868305456070673,2.7323543429374695
21,2.167588915143694,2.481138050556183
22,1.9409919031082639,2.142691195011139
23,1.719324755290198,2.164895236492157
24,1.5072975328990392,2.08219775557518
25,1.2991449738305711,1.7668222486972809
26,1.0928037403121826,1.7202730476856232
27,0.9262593795382787,1.7164356708526611
28,0.7632885792898754,1.6719447076320648
29,0.6122619202212681,1.751030445098877
30,0.4971834709720006,1.62472203373909
31,0.409325609841044,1.6392738819122314
32,0.30868103579869344,1.6556937396526337
33,0.23420601775721897,1.6728621125221252
34,0.18791782158234763,1.7556909918785095
35,0.13049160452589156,1.7612909376621246
36,0.09581739632856279,1.732581466436386
37,0.0604944708683188,1.812900573015213
38,0.04117178579881078,1.8632669150829315
39,0.04478896462491581,1.9411830306053162
40,0.03126367969468,1.8488806188106537
41,0.017183172708702465,1.9158576726913452
42,0.011287471416243722,1.9305810928344727
43,0.007342161969207819,1.9211008548736572
44,0.005091860805386825,1.9481974244117737
45,0.0037466467262083102,1.9691424667835236
46,0.002904788699991528,1.9997102320194244
47,0.002473536862193474,2.0014731884002686
48,0.0022178819081524297,2.012078434228897
49,0.0019968373992938606,2.027975082397461
50,0.0017910284740436408,2.0404551029205322
